ordem_de_servico;tag_equipamento;tipo_de_equipamento;tipo_de_evento;tipo_de_manutencao;km_atual;hr_atual;data_entrada;hora_entrada;data_saida;hora_saida
834;CP-78;CAMINHAO PIPA;Preventiva;Diversos;49.375,30;7.358,00;19/02/2022;08:00:00;19/02/2022;09:10:00
835;CB-2;CAMINHAO BASCULANTE;Corretiva;Mecânico;102.738,60;;19/02/2022;09:55:00;19/02/2022;10:45:00
836;CHH-94;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Mecânico;24.811,10;993;21/02/2022;08:10:00;21/02/2022;09:10:00
837;EH-86;ESCAVADEIRA HIDRAULICA;Preventiva;Diversos;;957,9;21/02/2022;09:20:00;21/02/2022;11:10:00
838;CHH-8;CAMINHAO HIPERVACUO HIDROJATO;Adequação;Hidráulico;6.312,50;224;21/02/2022;  13:20;21/02/2022;13:45:00
839;#VALOR!;CAMINHAO HIPERVACUO;Adequação;Diversos;1.935,30;39;21/02/2022;14:00:00;21/02/2022;16:40:00
840;CH-15;CAMINHAO HIDROJATO;Corretiva;Diversos;60.471,40;9.069,00;21/02/2022;14:15:00;21/02/2022;15:30:00
841;CHH-96;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Hidráulico;23.359,50;2.326,00;21/02/2022;14:30:00;21/02/2022;14:45:00
842;CM-8;CAVALO MECANICO;Preventiva;Diversos;394.481,90;10.316,00;21/02/2022;14:50:00;21/02/2022;15:45:00
843;CB-83;CAMINHAO BASCULANTE;Corretiva;Diversos;28.073,80;4.022,00;22/02/2022;08:00:00;22/02/2022;09:00:00
844;CB-14;CAMINHAO BASCULANTE;Corretiva;Diversos;117.500,20;7.734,00;23/02/2022;08:00:00;23/02/2022;09:15:00
845;CHH-49;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;53.535,90;5.520,70;23/02/2022;09:15:00;23/02/2022;10:15:00
846;CHH-96;CAMINHAO HIPERVACUO HIDROJATO;Preventiva;Mecânico;23.359,60;2.326,00;23/02/2022;11:30:00;23/02/2022;12:30:00
847;CM-36;CAVALO MECANICO;Corretiva;Borracharia;169.814,40;4.547,00;24/02/2022;08:00:00;24/02/2022;08:30:00
848;CB-13;CAMINHAO BASCULANTE;Corretiva;Borracharia;103.498,50;6.637,00;24/02/2022;09:15:00;24/02/2022;09:45:00
849;CB-2;CAMINHAO BASCULANTE;Corretiva;Borracharia;102.760,10;9.061,00;24/02/2022;10:20:00;24/02/2022;11:30:00
850;CHH-95;CAMINHAO HIPERVACUO HIDROJATO;Preventiva;Diversos;31.022,10;3.040,00;25/02/2022;08:00:00;25/02/2022;09:10:00
851;#VALOR!;CAMINHAO HIPERVACUO;Adequação;Diversos;2.081,60;36;25/02/2022;10:00:00;25/02/2022;13:10:00
852;#VALOR!;CAMINHAO HIPERVACUO;Adequação;Elétrico;1.102,10;17;26/02/2022;08:00:00;25/02/2022;08:45:00
853;#VALOR!;CAMINHAO HIPERVACUO;Adequação;Diversos;9.932,00;22,7;26/02/2022;09:00:00;26/02/2022;10:45:00
854;#VALOR!;CAMINHAO HIPERVACUO;Adequação;Diversos;1.010,90;30,8;26/02/2022;09:30:00;26/02/2022;11:30:00
855;#VALOR!;CAMINHAO HIPERVACUO;Adequação;Diversos;1.028,00;31,8;26/02/2022;10:10:00;26/02/2022;12:45:00
856;#VALOR!;CAMINHAO HIPERVACUO;Adequação;Diversos;1.015,00;30,9;26/02/2022;13:10:00;26/02/2022;14:45:00
857;CH-63;CAMINHAO HIDROJATO;Corretiva;Diversos;18.831,60;8.265,00;02/03/2022;08:30:00;02/03/2022;09:10:00
858;CP-3;CAMINHAO PIPA;Corretiva;Elétrico;11.357,20;2.000,00;02/03/2022;10:15:00;02/03/2022;10:45:00
859;CHH-49;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Mecânico;53.803,60;5.532,60;02/03/2022;16:45:00;02/03/2022;17:05:00
860;CH-16;CAMINHAO HIDROJATO;Corretiva;Mecânico;57.919,90;8.704,00;03/03/2022;08:30:00;03/03/2022;09:00:00
861;CM-54;CAVALO MECANICO;Corretiva;Borracharia;196.422,50;7.282,00;03/03/2022;10:33:00;03/03/2022;11:10:00
862;CHH-66;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Mecânico;27.772,50;7.167,30;03/03/2022;13:45:00;03/03/2022;13:55:00
863;CB-5;CAMINHAO BASCULANTE;Corretiva;Mecânico;15.381,90;1.850,90;03/03/2022;15:00:00;03/03/2022;15:30:00
864;PC-88;PA CARREGADEIRA;Preventiva;Diversos;;2.592,40;04/03/2022;08:10:00;04/03/2022;09:15:00
865;RE-52;RETRO CASE;Corretiva;Elétrico;;4.852,80;04/03/2022;08:20:00;04/03/2022;09:05:00
866;#VALOR!;CAMINHAO HIPERVACUO;Corretiva;Diversos;16.321,00;73;04/03/2022;09:00:00;04/03/2022;09:55:00
867;CB-14;CAMINHAO BASCULANTE;Corretiva;Borracharia;118.121,70;7.899,00;05/03/2022;08:05:00;05/03/2022;08:45:00
868;CP-74;CAMINHAO PIPA;Preventiva;Diversos;37.205,60;6.699,60;05/03/2022;09:10:00;05/03/2022;09:55:00
869;CM-36;CAVALO MECANICO;Corretiva;Elétrico;172.083,40;4.598,00;07/03/2022;08:15:00;07/03/2022;08:25:00
870;CH-15;CAMINHAO HIDROJATO;Preventiva;Diversos;60.748,90;9.123,00;07/03/2022;10:20:00;07/03/2022;14:20:00
871;CP-74;CAMINHAO PIPA;Corretiva;Borracharia;37.289,60;6.709,70;08/03/2022;08:00:00;08/03/2022;08:30:00
872;CH-65;CAMINHAO HIDROJATO;Corretiva;Borracharia;58.867,20;3.473,60;08/03/2022;09:30:00;08/03/2022;10:00:00
873;#VALOR!;CAMINHAO HIPERVACUO;Adequação;Carroceria;765,4;25;09/03/2022;08:05:00;09/03/2022;10:10:00
874;#VALOR!;CAMINHAO HIPERVACUO;Corretiva;Carroceria;2.775,40;308;09/03/2022;10:30:00;09/03/2022;11:15:00
875;CB-14;CAMINHAO BASCULANTE;Corretiva;Mecânico;118.331,70;7.962,00;09/03/2022;14:10:00;09/03/2022;14:45:00
876;CHH-8;CAMINHAO HIPERVACUO HIDROJATO;Lubrificação;Diversos;7.480,00;318;10/03/2022;09:45:00;10/03/2022;10:00:00
877;#VALOR!;CAMINHAO HIPERVACUO;Corretiva;Diversos;306.483,00;;10/03/2022;15:50:00;10/03/2022;16:00:00
878;CP-80;CAMINHAO PIPA;Corretiva;Diversos;22.533,00;3.676,00;11/03/2022;08:18:00;11/03/2022;08:55:00
879;CHV-13;CAMINHAO HIPERVACUO;Corretiva;Mecânico;103.946,50;17.546,40;12/03/2022;08:15:00;12/03/2022;10:00:00
880;CV-33;CAMINHAO VACUO;Calibragem;Borracharia;126.361,00;7.183,70;14/03/2022;08:00:00;14/03/2022;08:05:00
881;CRR-99;CAMINHAO ROLL ON;Calibragem;Borracharia;18.179,80;898,7;14/03/2022;08:05:00;14/03/2022;08:10:00
882;CH-16;CAMINHAO HIDROJATO;Corretiva;Borracharia;58.290,50;8.810,00;14/03/2022;08:18:00;14/03/2022;09:10:00
883;RB-21;REBOQUE TANQUE;Calibragem;Borracharia;;;14/03/2022;08:20:00;14/03/2022;08:27:00
884;CP-78;CAMINHAO PIPA;Corretiva;Diversos;51.468,30;7.671,00;14/03/2022;08:40:00;14/03/2022;10:40:00
885;#VALOR!;CAMINHAO HIPERVACUO;Preventiva;Diversos;404.316,20;404.316,20;15/03/2022;08:00:00;15/03/2022;09:00:00
886;EH-85;ESCAVADEIRA HIDRAULICA;Preventiva;Diversos;;2.634,40;15/03/2022;10:10:00;15/03/2022;11:45:00
887;CM-42;CAVALO MECANICO;Corretiva;Elétrico;;;16/03/2022;08:15:00;16/03/2022;08:25:00
888;RT-24;REBOQUE TANQUE;Corretiva;Borracharia;;;16/03/2022;08:30:00;16/03/2022;08:45:00
889;CB-101;CAMINHAO BASCULANTE;Preventiva;Diversos;108.170,90;15.192,00;16/03/2022;09:00:00;16/03/2022;10:00:00
890;#VALOR!;CAMINHAO HIPERVACUO;Corretiva;Diversos;404.316,20;404.316,20;16/03/2022;09:10:00;16/03/2022;15:00:00
891;VL-73;VEICULO LEVE;Corretiva;Mecânico;307.625,00;;16/03/2022;15:00:00;16/03/2022;16:00:00
892;CHH-11;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;87.542,70;17.211,00;17/03/2022;10:45:00;17/03/2022;11:27:00
893;CPG-18;CAMINHAO POLIGUINDASTE;Corretiva;Diversos;129.072,30;;17/03/2022;08:00:00;17/03/2022;08:30:00
894;CM-4;CAVALO MECANICO;Corretiva;Mecânico;460.802,60;12.364,00;17/03/2022;14:30:00;17/03/2022;14:37:00
895;#VALOR!;CAMINHAO HIPERVACUO;Adequação;Diversos;1.931,60;31;18/03/2022;08:00:00;18/03/2022;09:10:00
896;CRR-17;CAMINHAO ROLL ON;Preventiva;Diversos;9.042,70;505;18/03/2022;09:51:00;18/03/2022;10:32:00
897;CMK-81;CAMINHAO MUNCK;Preventiva;Diversos;6.667,70;1.057,00;18/03/2022;11:10:00;18/03/2022;11:50:00
898;CM-7;CAVALO MECANICO;Corretiva;Elétrico;153.621,00;5.001,00;18/03/2022;15:20:00;18/03/2022;15:45:00
899;CP-3;CAMINHAO PIPA;Preventiva;Diversos;12.566,30;2.248,00;19/03/2022;08:00:00;19/03/2022;09:10:00
900;CHH-9;CAMINHAO HIPERVACUO HIDROJATO;Preventiva;Diversos;13.038,40;575;19/03/2022;09:15:00;19/03/2022;09:45:00
901;CPG-19;CAMINHAO POLIGUINDASTE;Corretiva;Elétrico;204.087,80;6.939,00;19/03/2022;09:20:00;19/03/2022;10:20:00
902;#VALOR!;CAMINHAO HIPERVACUO;Corretiva;Diversos;307.625,00;;19/03/2022;11:00:00;19/03/2022;12:30:00
903;CHH-95;CAMINHAO HIPERVACUO HIDROJATO;Lavagem;Diversos;;;24/02/2022;;24/02/2022;
904;CH-15;CAMINHAO HIDROJATO;Lavagem;Diversos;;;26/02/2022;;26/02/2022;
905;CH-63;CAMINHAO HIDROJATO;Lavagem;Diversos;;;04/03/2022;;04/03/2022;
906;CH-16;CAMINHAO HIDROJATO;Lavagem;Diversos;;;02/03/2022;;02/03/2022;
907;CP-74;CAMINHAO PIPA;Lavagem;Diversos;37.289,60;6.709,70;04/03/2022;;04/03/2022;
908;CP-80;CAMINHAO PIPA;Lavagem;Diversos;;;04/03/2022;;04/03/2022;
909;CP-17;CAMINHAO PIPA;Lavagem;Diversos;;;04/03/2022;;04/03/2022;
910;#VALOR!;CAMINHAO HIPERVACUO;Lavagem;Diversos;;;05/03/2022;;05/03/2022;
911;CP-3;CAMINHAO PIPA;Lavagem;Diversos;;;11/03/2022;;11/03/2022;
912;CP-79;CAMINHAO PIPA;Lavagem;Diversos;22.155,50;3.305,00;11/03/2022;;11/03/2022;
913;#VALOR!;CAMINHAO HIPERVACUO;Lavagem;Diversos;;;12/03/2022;;12/03/2022;
914;CPG-18;CAMINHAO POLIGUINDASTE;Lavagem;Diversos;;;11/03/2022;;11/03/2022;
915;CB-101;CAMINHAO BASCULANTE;Lavagem;Diversos;108.170,90;15.192,00;15/03/2022;;15/03/2022;
916;CM-54;CAVALO MECANICO;Lavagem;Diversos;;;16/03/2022;;16/03/2022;
917;VL-71;VEICULO LEVE;Lavagem;Diversos;;;25/02/2022;;25/02/2022;
918;VL-70;VEICULO LEVE;Lavagem;Diversos;;;25/02/2022;;25/02/2022;
919;VL-64;VEICULO LEVE;Lavagem;Diversos;;;25/02/2022;;25/02/2022;
920;VL-70;VEICULO LEVE;Lavagem;Diversos;;;05/03/2022;;05/03/2022;
921;CH-15;CAMINHAO HIDROJATO;Lavagem;Diversos;;;18/03/2022;;18/03/2022;
922;CMK-81;CAMINHAO MUNCK;Lavagem;Diversos;;;18/03/2022;;18/03/2022;
923;CP-78;CAMINHAO PIPA;Lavagem;Diversos;;;18/03/2022;;18/03/2022;
924;CP-77;CAMINHAO PIPA;Lavagem;Diversos;;;18/03/2022;;18/03/2022;
925;EH-4;ESCAVADEIRA HIDRAULICA;Lavagem;Diversos;;1.039,10;18/03/2022;;18/03/2022;
926;CHH-95;CAMINHAO HIPERVACUO HIDROJATO;Lubrificação;Diversos;;;24/02/2022;;24/02/2022;
927;CH-15;CAMINHAO HIDROJATO;Lubrificação;Diversos;;;26/02/2022;;26/02/2022;
928;CH-63;CAMINHAO HIDROJATO;Lubrificação;Diversos;;;04/03/2022;;04/03/2022;
929;CH-16;CAMINHAO HIDROJATO;Lubrificação;Diversos;;;02/03/2022;;02/03/2022;
930;CP-74;CAMINHAO PIPA;Lubrificação;Diversos;37.289,60;6.709,70;04/03/2022;;04/03/2022;
931;CP-80;CAMINHAO PIPA;Lubrificação;Diversos;;;04/03/2022;;04/03/2022;
932;CP-17;CAMINHAO PIPA;Lubrificação;Diversos;;;04/03/2022;;04/03/2022;
933;#VALOR!;CAMINHAO HIPERVACUO;Lubrificação;Diversos;;;05/03/2022;;05/03/2022;
934;CP-3;CAMINHAO PIPA;Lubrificação;Diversos;;;11/03/2022;;11/03/2022;
935;CP-79;CAMINHAO PIPA;Lubrificação;Diversos;22.155,50;3.305,00;11/03/2022;;11/03/2022;
936;#VALOR!;CAMINHAO HIPERVACUO;Lubrificação;Diversos;;;12/03/2022;;12/03/2022;
937;CPG-18;CAMINHAO POLIGUINDASTE;Lubrificação;Diversos;;;11/03/2022;;11/03/2022;
938;CB-101;CAMINHAO BASCULANTE;Lubrificação;Diversos;108.170,90;15.192,00;15/03/2022;;15/03/2022;
939;CM-54;CAVALO MECANICO;Lubrificação;Diversos;;;16/03/2022;;16/03/2022;
940;CH-15;CAMINHAO HIDROJATO;Lubrificação;Diversos;;;18/03/2022;;18/03/2022;
941;CMK-81;CAMINHAO MUNCK;Lubrificação;Diversos;;;18/03/2022;;18/03/2022;
942;CP-78;CAMINHAO PIPA;Lubrificação;Diversos;;;18/03/2022;;18/03/2022;
943;CP-77;CAMINHAO PIPA;Lubrificação;Diversos;;;18/03/2022;;18/03/2022;
944;CHH-62;CAMINHAO HIPERVACUO HIDROJATO;Lavagem;Diversos;35.216,60;4.204,70;21/03/2022;;21/03/2022;
945;CV-33;CAMINHAO VACUO;Corretiva;Elétrico;126.665,00;7.212,00;21/03/2022;08:00:00;21/03/2022;08:20:00
946;VL-46;VEICULO LEVE;Corretiva;Elétrico;61.322,00;;21/03/2022;08:15:00;21/03/2022;08:20:00
947;#VALOR!;CAMINHAO HIPERVACUO;Corretiva;Elétrico;160.171,10;5.173,00;21/03/2022;09:00:00;21/03/2022;09:15:00
948;CV-35;CAMINHAO VACUO;Corretiva;Diversos;102.922,30;9.544,80;21/03/2022;09:05:00;21/03/2022;15:10:00
949;CV-35;CAMINHAO VACUO;Lubrificação;Diversos;102.922,30;9.544,80;21/03/2022;15:10:00;21/03/2022;15:20:00
950;CB-101;CAMINHAO BASCULANTE;Corretiva;Elétrico;108.171,50;15.193,00;21/03/2022;10:40:00;21/03/2022;16:30:00
951;CM-7;CAVALO MECANICO;Corretiva;Diversos;153.731,70;5.006,00;21/03/2022;11:50:00;21/03/2022;12:30:00
952;CM-6;CAVALO MECANICO;Calibragem;Diversos;397.849,10;6.729,00;21/03/2022;12:10:00;21/03/2022;12:20:00
953;CM-54;CAVALO MECANICO;Corretiva;Mecânico;197.430,80;7.328,00;21/03/2022;13:00:00;21/03/2022;13:45:00
954;CHH-11;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;87.739,60;17.237,90;21/03/2022;14:15:00;21/03/2022;15:10:00
955;CB-12;CAMINHAO BASCULANTE;Corretiva;Diversos;104.225,80;7.148,00;21/03/2022;17:00:00;21/03/2022;17:30:00
956;CH-65;CAMINHAO HIDROJATO;Corretiva;Borracharia;59.260,30;3.575,00;22/03/2022;08:00:00;22/03/2022;08:30:00
957;CV-34;CAMINHAO VACUO;Corretiva;Elétrico;262.205,30;;22/03/2022;09:15:00;22/03/2022;09:25:00
958;CMK-81;CAMINHAO MUNCK;Corretiva;Elétrico;6.689,00;1.059,00;22/03/2022;10:00:00;22/03/2022;10:10:00
959;CB-97;CAMINHAO BASCULANTE;Corretiva;Diversos;126.284,40;6.367,00;22/03/2022;08:30:00;23/03/2022;15:38:00
960;CB-15;CAMINHAO BASCULANTE;Corretiva;Diversos;;;22/03/2022;11:10:00;;
961;CPG-19;CAMINHAO POLIGUINDASTE;Corretiva;Mecânico;204.192,60;6.949,00;23/03/2022;08:00:00;23/03/2022;15:15:00
962;CHH-94;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Elétrico;26.790,50;1.149,00;23/03/2022;10:00:00;23/03/2022;10:05:00
963;CHV-14;CAMINHAO HIPERVACUO;Corretiva;Diversos;127.300,50;8.312,00;23/03/2022;11:00:00;23/03/2022;17:00:00
964;#VALOR!;CAMINHAO HIPERVACUO;Corretiva;Borracharia;;;23/03/2022;11:15:00;23/03/2022;11:40:00
965;CHH-11;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;88.057,80;17.273,80;23/03/2022;13:40:00;23/03/2022;14:15:00
966;CHH-11;CAMINHAO HIPERVACUO HIDROJATO;Lubrificação;Diversos;88.057,80;17.273,80;23/03/2022;14:17:00;23/03/2022;14:25:00
967;CPG-19;CAMINHAO POLIGUINDASTE;Lavagem;Diversos;204.192,60;6.949,00;23/03/2022;15:20:00;23/03/2022;16:25:00
968;CPG-19;CAMINHAO POLIGUINDASTE;Lubrificação;Diversos;;;23/03/2022;16:30:00;23/03/2022;17:00:00
969;CHH-62;CAMINHAO HIPERVACUO HIDROJATO;Lubrificação;Diversos;35.216,60;4.204,70;23/03/2022;16:32:00;23/03/2022;16:55:00
970;RT-25;REBOQUE TANQUE;Corretiva;Borracharia;;;23/03/2022;09:00:00;23/03/2022;11:10:00
971;CHH-49;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;54.620,70;5.636,00;24/03/2022;08:00:00;24/03/2022;14:00:00
972;CV-34;CAMINHAO VACUO;Corretiva;Mecânico;262.357,10;;24/03/2022;09:15:00;24/03/2022;10:20:00
973;RT-68;REBOQUE TANQUE;Corretiva;Elétrico;;;24/03/2022;14:10:00;24/03/2022;14:25:00
974;#VALOR!;CAMINHAO HIPERVACUO;Preventiva;Diversos;14.137,90;443;25/03/2022;08:00:00;25/03/2022;11:10:00
975;#VALOR!;CAMINHAO HIPERVACUO;Lubrificação;Diversos;14.137,90;443;25/03/2022;11:11:00;25/03/2022;11:20:00
976;CRR-31;CAMINHAO ROLL ON;Corretiva;Borracharia;86.235,60;4.252,00;25/03/2022;08:20:00;25/03/2022;08:45:00
977;CHH-75;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Borracharia;30.343,10;4.754,80;25/03/2022;09:00:00;25/03/2022;09:20:00
978;EH-4;ESCAVADEIRA HIDRAULICA;Corretiva;Diversos;;1.039,10;25/03/2022;08:00:00;25/03/2022;15:15:00
979;EH-4;ESCAVADEIRA HIDRAULICA;Preventiva;Diversos;;1.039,10;25/03/2022;15:20:00;25/03/2022;16:45:00
980;CHH-11;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Mecânico;88.379,40;17.315,80;25/03/2022;15:21:00;;
981;CH-16;CAMINHAO HIDROJATO;Corretiva;Diversos;58.600,90;8.907,00;25/03/2022;15:30:00;28/03/2022;15:40:00
982;CV-33;CAMINHAO VACUO;Corretiva;Elétrico;126.900,70;7.232,60;28/03/2022;08:00:00;28/03/2022;08:10:00
983;CP-74;CAMINHAO PIPA;Corretiva;Diversos;38.029,80;6.832,60;28/03/2022;08:15:00;28/03/2022;08:30:00
984;CP-80;CAMINHAO PIPA;Preventiva;Diversos;23.357,10;3.842,00;28/03/2022;08:20:00;28/03/2022;09:10:00
985;CP-3;CAMINHAO PIPA;Corretiva;Borracharia;13.176,30;2.322,00;28/03/2022;08:20:00;28/03/2022;08:35:00
986;CM-36;CAVALO MECANICO;Corretiva;Diversos;176.947,80;4.722,00;28/03/2022;09:30:00;28/03/2022;09:42:00
987;RB-20;REBOQUE TANQUE;Corretiva;Borracharia;;;28/03/2022;09:45:00;28/03/2022;10:15:00
988;CHH-11;CAMINHAO HIPERVACUO HIDROJATO;Preventiva;Mecânico;88.379,40;17.315,80;28/03/2022;09:50:00;28/03/2022;10:30:00
989;CB-83;CAMINHAO BASCULANTE;Corretiva;Diversos;30.006,00;4.543,00;28/03/2022;10:00:00;28/03/2022;15:00:00
990;#VALOR!;CAMINHAO HIPERVACUO;Corretiva;Mecânico;2.518,60;353;28/03/2022;11:00:00;31/03/2022;14:30:00
991;RT-25;REBOQUE TANQUE;Corretiva;Diversos;;;28/03/2022;16:34:00;28/03/2022;17:10:00
992;CB-83;CAMINHAO BASCULANTE;Preventiva;Mecânico;30.006,00;4.543,00;29/03/2022;08:00:00;29/03/2022;08:35:00
993;CHH-41;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;31.070,30;6.104,20;29/03/2022;08:15:00;29/03/2022;09:28:00
994;CM-36;CAVALO MECANICO;Corretiva;Mecânico;177.106,80;4.727,00;29/03/2022;09:30:00;29/03/2022;09:35:00
995;RB-21;REBOQUE TANQUE;Corretiva;Borracharia;;;29/03/2022;10:00:00;29/03/2022;10:20:00
996;#VALOR!;CAMINHAO HIPERVACUO;Corretiva;Elétrico;1.416,20;70;29/03/2022;08:00:00;29/03/2022;08:07:00
997;RE-6;RETRO CASE;Corretiva;Borracharia;;292,8;29/03/2022;11:10:00;29/03/2022;11:45:00
998;RE-6;RETRO CASE;Calibragem;Borracharia;;292,8;29/03/2022;11:46:00;29/03/2022;11:58:00
999;CHH-62;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;35.870,40;503;29/03/2022;13:34:00;29/03/2022;14:20:00
1000;#VALOR!;CAMINHAO HIPERVACUO;Corretiva;Borracharia;;;29/03/2022;15:45:00;29/03/2022;16:05:00
1001;CP-80;CAMINHAO PIPA;Corretiva;Borracharia;23.447,60;3.857,00;30/03/2022;08:00:00;30/03/2022;08:30:00
1002;CPG-16;CAMINHAO POLIGUINDASTE;Calibragem;Borracharia;18.526,40;956;30/03/2022;08:35:00;30/03/2022;08:45:00
1003;CRR-31;CAMINHAO ROLL ON;Corretiva;Elétrico;86.374,60;4.260,00;30/03/2022;08:48:00;30/03/2022;08:55:00
1004;RT-24;REBOQUE TANQUE;Corretiva;Hidráulico;;;30/03/2022;09:00:00;30/03/2022;09:15:00
1005;#VALOR!;CAMINHAO HIPERVACUO;Calibragem;Borracharia;453,7;16;30/03/2022;09:16:00;30/03/2022;09:24:00
1006;RT-24;REBOQUE TANQUE;Calibragem;Borracharia;;;30/03/2022;09:25:00;30/03/2022;09:35:00
1007;#VALOR!;CAMINHAO HIPERVACUO;Corretiva;Diversos;309.127,00;;30/03/2022;14:00:00;30/03/2022;14:35:00
1008;CH-63;CAMINHAO HIDROJATO;Preventiva;Diversos;19.258,50;1.097,30;30/03/2022;15:00:00;30/03/2022;16:20:00
1009;CPG-18;CAMINHAO POLIGUINDASTE;Corretiva;Elétrico;16.825,40;1.080,00;30/03/2022;16:10:00;30/03/2022;16:24:00
1010;EH-85;ESCAVADEIRA HIDRAULICA;Corretiva;Diversos;;2.743,50;30/03/2022;14:00:00;30/03/2022;14:35:00
1011;EH-85;ESCAVADEIRA HIDRAULICA;Adequação;Diversos;;2.743,50;30/03/2022;14:00:00;30/03/2022;15:30:00
1012;CHH-11;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Elétrico;88.410,20;17.320,80;31/03/2022;08:20:00;31/03/2022;09:15:00
1013;CHV-12;CAMINHAO HIPERVACUO;Corretiva;Mecânico;;;31/03/2022;09:00:00;31/03/2022;09:13:00
1014;RB-20;REBOQUE TANQUE;Corretiva;Borracharia;;;31/03/2022;09:20:00;31/03/2022;09:45:00
1015;EH-85;ESCAVADEIRA HIDRAULICA;Corretiva;Diversos;;2.743,50;31/03/2022;12:10:00;31/03/2022;15:10:00
1016;CP-77;CAMINHAO PIPA;Preventiva;Diversos;41.414,20;6.038,00;31/03/2022;16:20:00;31/03/2022;18:20:00
1017;CH-15;CAMINHAO HIDROJATO;Corretiva;Diversos;61.004,70;9.183,00;31/03/2022;16:30:00;;
1018;CHH-94;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Elétrico;27.285,30;1.172,00;01/04/2022;08:00:00;01/04/2022;08:12:00
1019;CM-9;CAVALO MECANICO;Corretiva;Mecânico;455.227,10;11.569,00;01/04/2022;09:00:00;01/04/2022;09:15:00
1020;CH-65;CAMINHAO HIDROJATO;Corretiva;Borracharia;60.218,60;3.639,80;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
